,n=,Run Time All in s,Run Time Matching in s,Run Time Pref in s,Run Time Preference Generation in %,Run Time ALG in %
0,100,0.022987,0.0125685,0.0104185,45%,55%
1,200,0.146034,0.0896245,0.0564095,39%,61%
2,400,0.9089785,0.5693775,0.339601,37%,63%
3,600,2.874459,1.8753065,0.9991525,35%,65%
4,800,6.4880235,4.3024475,2.185576,34%,66%
5,1000,12.4252555,8.4152195,4.010036,32%,68%
6,2000,94.4231195,66.232661,28.1904585,30%,70%
7,4000,727.7675965,518.9572545,208.810342,29%,71%
8,6000,2462.441035,1769.381228,693.059807,28%,72%
9,8000,5722.932715,4105.598427,1617.33429,28%,72%
10,10000,11584.11979,8468.752165,3115.367621,27%,73%